Provider Id,Provider State,DRG Charges 039,DRG Charges 057,DRG Charges 064,DRG Charges 065,DRG Charges 066,DRG Charges 069,DRG Charges 092,DRG Charges 100,DRG Charges 101,DRG Charges 166,DRG Charges 175,DRG Charges 176,DRG Charges 177,DRG Charges 178,DRG Charges 180,DRG Charges 189,DRG Charges 190,DRG Charges 191,DRG Charges 192,DRG Charges 193,DRG Charges 194,DRG Charges 195,DRG Charges 202,DRG Charges 207,DRG Charges 208,DRG Charges 242,DRG Charges 243,DRG Charges 246,DRG Charges 247,DRG Charges 252,DRG Charges 253,DRG Charges 269,DRG Charges 270,DRG Charges 280,DRG Charges 281,DRG Charges 282,DRG Charges 286,DRG Charges 287,DRG Charges 291,DRG Charges 292,DRG Charges 293,DRG Charges 299,DRG Charges 300,DRG Charges 305,DRG Charges 308,DRG Charges 309,DRG Charges 310,DRG Charges 312,DRG Charges 313,DRG Charges 314,DRG Charges 315,DRG Charges 329,DRG Charges 330,DRG Charges 331,DRG Charges 371,DRG Charges 372,DRG Charges 377,DRG Charges 378,DRG Charges 389,DRG Charges 390,DRG Charges 391,DRG Charges 392,DRG Charges 393,DRG Charges 394,DRG Charges 418,DRG Charges 439,DRG Charges 460,DRG Charges 469,DRG Charges 470,DRG Charges 473,DRG Charges 480,DRG Charges 481,DRG Charges 482,DRG Charges 483,DRG Charges 536,DRG Charges 552,DRG Charges 563,DRG Charges 602,DRG Charges 603,DRG Charges 637,DRG Charges 638,DRG Charges 640,DRG Charges 641,DRG Charges 682,DRG Charges 683,DRG Charges 689,DRG Charges 690,DRG Charges 698,DRG Charges 699,DRG Charges 811,DRG Charges 812,DRG Charges 853,DRG Charges 870,DRG Charges 871,DRG Charges 872,DRG Charges 897,DRG Charges 917,DRG Charges 918,DRG Charges 948,DRG Charges 981
10001,AL,41130.56,25434.17,46240.0,33440.09,30566.49,30004.42,25485.12,47017.81,27218.7,92997.8,,20573.5,50312.58,,38660.5,35646.84,33741.66,28981.0,20456.06,30178.71,29376.0,19297.38,30676.5,161963.12,71348.67,92935.95,70171.74,95626.89,75474.25,71533.0,,63534.85,124226.28,38870.32,29249.7,26646.17,55931.0,36577.9,34642.05,22885.72,15254.64,29955.83,20665.75,19302.52,27219.3,17419.2,14324.27,23870.09,21737.71,48941.53,22785.83,113644.9,63953.61,41626.94,41001.38,23822.73,46422.85,29819.12,26530.21,20170.85,36033.57,24570.17,46241.08,27656.03,55602.18,26360.04,77247.84,70550.29,44074.41,52682.09,69886.18,48045.74,,55115.86,19821.53,28419.96,21227.0,,17840.15,28624.67,22621.0,31325.74,19943.45,39053.17,22012.25,34132.55,22399.95,43267.21,29190.0,35373.03,20394.23,119598.1,146858.55,48672.35,30927.54,12753.2,34665.44,19832.71,,93837.95
10005,AL,14450.08,,26866.23,14336.27,13158.84,16008.44,,,11954.63,,,11914.52,30773.42,20838.15,,21083.13,18834.53,15655.18,9444.95,23453.5,14276.59,10246.7,13215.5,,37193.96,,,,,,26287.23,56548.07,,18667.74,,,,26175.0,18208.9,13050.78,9805.05,,12124.08,,22379.5,12041.58,9413.31,12400.0,13764.58,,,,34608.47,29945.33,,,,11556.61,11062.6,9626.93,20980.06,10362.58,,15204.56,25909.53,,,,25815.24,,,24215.45,17604.82,,9497.8,,,,12090.46,,10973.17,21232.88,9117.14,19462.97,11782.6,15764.94,10849.4,13573.85,,14909.06,11466.57,76183.18,69936.53,22616.08,15294.55,9511.5,15524.04,10599.77,12574.92,
10006,AL,35486.58,24472.15,35674.07,24571.08,20953.62,17277.38,,43030.2,17495.89,71734.18,41262.18,21846.52,44911.8,33137.21,42837.88,33938.75,29635.72,20725.6,19292.89,28720.59,19702.2,15907.45,21285.56,,60555.33,95745.0,66854.0,94114.22,63059.63,88668.52,70562.0,85095.61,117979.3,40199.49,24255.57,,45324.94,29873.51,33568.66,21717.91,12660.45,19974.09,21577.25,15137.47,28645.8,15433.02,13453.43,13693.98,,55545.74,36514.38,97086.17,58645.22,39576.5,48707.47,21744.73,31484.66,21013.29,20436.06,13442.83,24640.79,18842.97,38408.35,20213.05,44181.95,22483.15,63805.25,66529.06,50628.02,,44120.84,36501.83,,46292.7,15786.62,16402.5,12917.79,,15893.6,19364.81,17132.35,22388.19,15262.98,44770.15,18046.74,23159.88,17576.37,37002.59,,,19740.5,114219.82,138618.91,44327.62,23283.3,14717.18,28885.41,14272.07,,100218.22
10007,AL,,,,,,,,,,,,,,,,,13088.16,10709.36,9228.74,,12875.71,8492.76,,,,,,,,,,,,,,,,,,9964.43,,,,,,,,,,,,,,,,,,15369.27,,,,10611.45,,,,,,,41980.92,,,,,,,,,,8953.74,,,,9723.0,,,,9316.26,,,,11787.2,,,20484.8,10145.17,,,,7629.18,
10008,AL,,,,,,,,,,,,,,,,,,,14813.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9948.32,,,,,,,17771.0,,,,,,
10011,AL,20318.2,,55758.69,45670.71,36132.38,32378.76,,,27555.88,81774.79,,36287.64,58237.52,,,35958.62,31905.0,36710.1,,40538.71,27429.16,,27078.65,124346.21,65221.78,,,,139310.66,,,100155.75,,74066.5,,,91668.09,65938.98,44123.34,28784.17,,,16473.86,,47258.36,22658.97,17924.43,36456.17,24800.0,37745.93,,92276.29,41645.07,26210.0,57682.0,37030.24,47910.7,27845.71,26002.21,14990.85,52589.75,26780.05,,29263.67,41934.62,22936.22,37819.73,,35463.9,,,37300.04,32175.5,44799.53,,,,33024.36,21511.5,45917.69,17865.61,34766.21,23291.95,50278.11,21927.26,27869.19,23599.21,,,,27987.0,97626.44,167321.93,52574.59,34562.03,25003.08,49231.45,,,86050.64
10012,AL,,,,56533.29,,,,,,,,,53307.2,45646.2,,47223.71,45491.32,39905.22,35581.79,43115.09,43413.79,,,,119893.64,,,,137067.89,,,,,73590.43,,38037.77,,58945.18,54984.84,45747.96,27218.21,,,,70303.28,34086.09,,,,,,,92788.12,,,,,32915.97,,,,29310.48,,,,,,,,,,,,,,,,,32350.13,,,,28239.32,,33702.52,,27084.15,,,,35329.5,,,61977.02,40235.43,,,,28027.18,
10016,AL,57239.62,,84582.54,42023.39,,,29323.73,54879.75,29084.06,,62033.64,35139.45,,,,49172.45,42432.0,28134.84,,63414.14,43879.56,27468.06,26902.8,,78668.42,,,136605.5,117974.83,100821.07,91264.36,,,73383.91,50753.96,,79671.45,51392.62,45516.75,34552.17,22690.15,,,30899.47,41681.33,26336.79,20197.48,28772.97,27278.04,,,172284.86,89642.9,,,,43117.82,41335.36,35486.5,28518.0,,28950.06,,55537.1,58683.08,,,,73697.51,,127422.73,69187.43,,,24313.47,34193.94,,,31257.87,,32367.18,38721.0,33124.64,44638.52,33372.84,51153.46,31977.75,68182.87,,,28319.36,188579.59,206931.0,69364.51,51074.5,,36130.19,26683.78,24327.16,177367.79
10019,AL,,,36756.5,21911.63,,23474.76,,,,,,20864.73,20825.07,,,21691.33,18757.33,16628.33,12366.31,23271.62,15908.97,14162.58,17942.5,,46401.47,,,,,,,,,,,,,,23691.27,18102.03,15452.13,,,16501.62,23725.28,15097.44,14441.82,16070.39,17888.27,,,,42073.94,,,,43182.91,20239.87,18571.83,,,16278.05,,20176.25,33797.73,,,,34197.05,,,30294.5,,33738.92,,18733.17,,,13539.44,,13865.11,24594.23,15462.98,30664.79,20998.7,19460.55,15877.34,,,,21561.57,,,29255.91,20230.36,,20380.58,15478.13,16041.9,
10021,AL,,,,,,,,,,,,,,,,,17183.6,12653.74,,19539.18,,,,,,,,,,,,,,,,,,,19531.13,,,,,,,,,,,,,,,,,,,,,,,10110.5,,,,,,,,,,,,,,,,,,,,,,,13527.33,,,,,,,,,24074.11,,6485.19,,,,
