Provider Id,Provider State,DRG Charges 039,DRG Charges 057,DRG Charges 064,DRG Charges 065,DRG Charges 066,DRG Charges 069,DRG Charges 092,DRG Charges 100,DRG Charges 101,DRG Charges 166,DRG Charges 175,DRG Charges 176,DRG Charges 177,DRG Charges 178,DRG Charges 180,DRG Charges 189,DRG Charges 190,DRG Charges 191,DRG Charges 192,DRG Charges 193,DRG Charges 194,DRG Charges 195,DRG Charges 202,DRG Charges 207,DRG Charges 208,DRG Charges 242,DRG Charges 243,DRG Charges 246,DRG Charges 247,DRG Charges 252,DRG Charges 253,DRG Charges 269,DRG Charges 270,DRG Charges 280,DRG Charges 281,DRG Charges 282,DRG Charges 286,DRG Charges 287,DRG Charges 291,DRG Charges 292,DRG Charges 293,DRG Charges 299,DRG Charges 300,DRG Charges 305,DRG Charges 308,DRG Charges 309,DRG Charges 310,DRG Charges 312,DRG Charges 313,DRG Charges 314,DRG Charges 315,DRG Charges 329,DRG Charges 330,DRG Charges 331,DRG Charges 371,DRG Charges 372,DRG Charges 377,DRG Charges 378,DRG Charges 389,DRG Charges 390,DRG Charges 391,DRG Charges 392,DRG Charges 393,DRG Charges 394,DRG Charges 418,DRG Charges 439,DRG Charges 460,DRG Charges 469,DRG Charges 470,DRG Charges 473,DRG Charges 480,DRG Charges 481,DRG Charges 482,DRG Charges 483,DRG Charges 536,DRG Charges 552,DRG Charges 563,DRG Charges 602,DRG Charges 603,DRG Charges 637,DRG Charges 638,DRG Charges 640,DRG Charges 641,DRG Charges 682,DRG Charges 683,DRG Charges 689,DRG Charges 690,DRG Charges 698,DRG Charges 699,DRG Charges 811,DRG Charges 812,DRG Charges 853,DRG Charges 870,DRG Charges 871,DRG Charges 872,DRG Charges 897,DRG Charges 917,DRG Charges 918,DRG Charges 948,DRG Charges 981
50002,CA,,,99740.33,67912.78,,,,,,,,,126029.46,110810.15,,108085.69,90977.96,90445.19,67251.92,127297.62,80196.03,,84714.69,,131938.58,,,196867.64,159699.33,,,,,105383.71,72278.38,67529.67,175619.73,115679.71,106802.59,71026.28,,,,,74247.59,66553.5,39654.85,50965.85,,,,,,,,,113025.44,76937.66,,,,56999.43,132598.5,,,,,,123435.65,,,,,,,,,,64519.6,,,100363.0,47813.17,110506.43,79616.4,98073.5,57888.09,,,,57076.76,247006.47,272439.76,116805.25,73166.56,,,,,
50006,CA,70329.89,,75335.37,48870.39,,,,,,,,,89573.75,46693.36,76675.83,68261.85,57639.0,43255.73,,51730.91,47663.27,,,,155050.21,109709.47,79178.43,144055.95,89063.67,160853.76,152576.82,,262114.47,78090.03,50497.63,49832.27,,50570.04,65908.94,57563.55,30700.58,,,,60766.71,35514.31,28389.05,39684.84,35770.59,78601.0,43230.91,267089.64,132037.21,,,,89141.1,49649.27,50280.08,,107636.29,42124.63,,51215.09,,,239005.73,,112386.16,,145738.71,116427.0,,109978.13,,,,65349.36,45083.82,,,42014.54,,82085.63,57378.3,55229.04,40333.56,,,,47952.38,259952.45,,88770.05,59786.98,,76524.0,,,
50007,CA,,,85271.31,62564.6,,52434.0,43890.29,,35653.91,,58149.6,,60490.5,,,53264.18,53833.55,,,58646.42,43257.2,,52901.82,,109175.45,,93176.86,219561.08,126736.45,170629.55,,,242739.31,63082.95,51481.73,,107549.26,59174.77,62406.83,36563.86,,,,,79072.71,34994.88,27668.68,44135.37,,,,206930.06,106808.65,84422.67,,,77864.18,38400.34,37901.05,32081.31,,36368.09,,40922.05,,,,,86751.71,,,87146.78,76392.45,101049.07,30457.48,45442.41,37262.38,,32375.74,,,56885.1,36678.0,87051.68,43231.44,60519.25,37301.0,76623.44,,,,203712.04,,72633.5,46609.79,,57103.08,47882.64,,
50008,CA,,53803.79,122245.56,72562.14,51845.06,41559.69,,,,,,,,,,,71194.0,,,64506.64,48877.91,,,,,,,,,,,,,,,,,,50389.17,,,,,,,,,,,,,,,,,,,48688.73,,,,,,,,,156014.93,,,,,,,,,,,,28424.68,,,47810.17,,,45767.07,,44332.44,,,,,198613.73,,106048.38,47614.33,,,,,
50009,CA,,,143087.12,70072.66,54961.1,49608.84,,103226.08,55278.64,,149953.54,,96191.74,71597.57,,107406.82,72469.62,,,59236.39,50939.55,,,,200301.07,153753.7,,211516.84,137637.14,,,,,103630.95,,61247.0,182043.28,83480.27,85273.18,55492.32,,,,,66270.76,54270.17,40124.35,52914.86,,90898.65,,258263.25,176570.45,,,,86846.77,66556.25,52107.0,33460.55,82930.71,55905.46,69031.82,47594.31,144020.18,,203471.16,,116416.95,,,121676.46,,,,51689.93,,,54133.88,75451.68,45514.08,64297.5,46655.6,95982.45,59998.15,64472.82,49594.47,95477.18,53705.07,,47475.0,315868.7,454070.18,125036.55,59483.8,,97439.06,,,
50013,CA,161443.07,,,,,,,,,156999.38,,,,,,66199.19,59910.67,,,71038.72,33369.2,,,,183804.05,,94951.5,179914.35,99226.48,164030.72,237233.71,262110.77,,90631.5,43507.93,43645.86,104864.44,65501.0,103942.62,60156.53,,,,,81497.5,44691.66,24640.47,34365.8,29828.46,103078.6,,502113.73,226007.5,,,,85521.82,44260.95,39846.31,,,49174.67,,,,,211430.71,,149588.48,,,137832.2,,,,,,,36960.57,,,67792.0,31913.6,107675.2,51255.67,52992.09,50946.36,139550.45,,,,383292.55,,103808.6,47535.67,29305.89,72043.5,,,
50014,CA,,,75910.64,44002.82,,,,,,,,,,,,43603.43,44360.0,34586.43,,48302.58,40955.44,36160.73,,,,,,,,,,,,,,,,,53500.53,44271.21,,,,,,38372.0,28808.13,32027.0,,,,,,,,,,49840.74,,30275.91,,36829.25,,,,,,,85356.27,,,74265.93,,,,,,,35481.33,,,,,50296.17,27159.07,,28337.17,,,,,131354.79,,64574.6,43760.82,,,,,
50017,CA,80331.86,,134411.09,75554.93,,,,,55681.62,,,,94834.64,,,68609.13,65900.57,47809.77,,60191.92,60105.16,,,,140451.79,175841.45,96432.68,192976.74,126680.5,,,,,96299.7,70357.03,,117289.28,92986.25,68299.76,48801.75,42797.87,83860.0,53447.57,,77728.38,46836.42,42360.35,53752.13,66035.47,112320.74,,270658.57,147139.43,106860.54,,50337.45,73232.93,59912.66,56726.16,,68211.32,52639.97,,42780.86,,,241611.47,,95162.17,164533.75,,111984.3,,151526.61,,,,,46651.11,90749.53,,67564.32,43773.95,61580.62,49792.28,54296.57,50996.71,77782.52,,,45986.74,260867.0,,98999.5,52532.24,,75216.21,,,236918.56
50018,CA,,,,,,,,,,,,,,,,,82052.0,,,,52997.0,,,,,,,,,,,,,,,,,,50481.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104215.48,,,,,,
50022,CA,123841.73,59788.47,154515.98,101240.06,,72465.78,,139800.92,71898.78,239829.44,,,138003.85,,,148479.39,104616.46,67840.19,65086.27,101286.93,80376.74,45535.42,,,299072.95,,,305592.2,202571.45,158827.34,,,267919.12,140163.85,82922.32,73505.82,170353.17,113550.02,111080.63,81677.14,47719.77,87467.58,57952.53,,94624.97,70723.53,47020.94,67928.0,63123.11,198179.06,,341840.4,179427.04,,102072.45,,110968.55,67419.89,70551.24,,68936.16,61342.34,116646.85,79753.93,,71746.29,230349.24,190774.27,127058.13,,,154995.04,121886.15,,57589.91,69700.59,52577.86,113141.38,59803.28,110502.09,69560.4,66022.65,50442.27,147488.25,69154.73,94026.55,52290.33,154607.62,53124.27,,60208.22,379804.79,593354.27,164317.52,78631.2,76079.18,,,58806.91,288773.71
