DRG Charges 392,Provider State
56999.43,CA
42124.63,CA
36368.09,CA
,CA
55905.46,CA
49174.67,CA
36829.25,CA
52639.97,CA
,CA
61342.34,CA
16849.42,CA
32060.19,CA
44821.51,CA
26162.58,CA
21876.32,CA
42961.06,CA
44919.31,CA
42967.69,CA
,CA
37269.25,CA
47109.93,CA
39166.62,CA
41517.96,CA
31723.09,CA
35064.33,CA
37768.52,CA
22307.32,CA
38183.61,CA
46347.58,CA
34070.76,CA
,CA
43864.45,CA
,CA
,CA
,CA
,CA
,CA
,CA
43645.59,CA
44081.85,CA
42453.57,CA
62155.65,CA
54298.42,CA
,CA
,CA
29755.8,CA
12414.38,CA
40726.3,CA
46206.82,CA
47418.36,CA
41550.26,CA
60626.45,CA
30628.85,CA
39961.81,CA
41002.54,CA
17965.95,CA
30978.28,CA
,CA
47750.16,CA
53420.59,CA
72110.89,CA
28110.19,CA
65548.81,CA
29113.38,CA
77193.2,CA
33239.09,CA
47111.09,CA
32947.08,CA
34383.46,CA
41994.45,CA
75502.44,CA
37100.26,CA
38235.12,CA
63978.14,CA
,CA
,CA
,CA
,CA
52840.79,CA
28858.65,CA
47057.1,CA
58897.75,CA
55933.22,CA
28630.53,CA
42616.61,CA
61578.0,CA
40145.78,CA
63203.58,CA
52069.79,CA
65907.15,CA
75697.81,CA
,CA
28340.45,CA
,CA
90802.3,CA
60206.25,CA
70767.07,CA
42809.14,CA
22101.4,CA
53796.94,CA
46938.45,CA
24747.31,CA
67865.35,CA
53717.47,CA
82954.55,CA
21437.69,CA
57597.62,CA
40347.69,CA
,CA
51351.47,CA
34502.71,CA
45800.12,CA
42401.56,CA
54604.58,CA
71997.81,CA
16943.0,CA
43005.0,CA
64029.04,CA
10717.39,CA
24132.39,CA
39492.8,CA
42053.21,CA
32179.95,CA
54249.02,CA
25833.92,CA
42726.12,CA
50518.43,CA
62266.15,CA
66239.52,CA
34081.92,CA
51317.4,CA
24081.36,CA
40680.26,CA
35026.43,CA
,CA
35990.26,CA
25498.52,CA
42592.73,CA
49221.81,CA
36426.04,CA
37400.73,CA
,CA
56517.64,CA
36858.1,CA
51788.08,CA
33566.27,CA
50549.81,CA
48889.1,CA
61561.93,CA
26237.71,CA
44932.54,CA
19908.53,CA
49169.23,CA
32777.18,CA
45324.59,CA
,CA
25401.09,CA
75415.61,CA
111039.7,CA
29168.82,CA
38437.09,CA
18844.06,CA
74876.18,CA
27520.28,CA
30837.0,CA
52476.6,CA
26423.43,CA
33828.63,CA
,CA
,CA
52600.11,CA
29744.6,CA
31010.36,CA
26378.7,CA
,CA
27597.11,CA
44174.88,CA
93095.19,CA
49152.32,CA
64881.58,CA
34019.02,CA
61786.0,CA
92011.72,CA
26843.6,CA
45735.83,CA
61024.61,CA
36977.59,CA
40922.47,CA
35114.22,CA
80869.29,CA
38986.67,CA
43849.93,CA
37376.44,CA
52731.93,CA
,CA
,CA
,CA
63218.64,CA
30826.24,CA
43314.0,CA
,CA
,CA
,CA
35837.08,CA
,CA
,CA
,CA
,CA
56456.25,CA
60354.08,CA
44798.8,CA
,CA
39228.21,CA
15525.31,CA
52235.39,CA
52268.03,CA
,CA
21633.83,CA
47309.49,CA
29024.36,CA
27223.43,CA
59783.31,CA
48789.97,CA
31260.68,CA
58524.36,CA
34344.61,CA
,CA
17976.68,CA
19111.18,CA
37184.7,CA
47263.31,CA
89176.4,CA
59796.06,CA
52260.07,CA
43298.58,CA
22167.19,CA
,CA
,CA
31074.27,CA
27730.6,CA
,CA
45115.6,CA
59156.25,CA
,CA
46705.96,CA
,CA
38004.95,CA
16969.24,CA
,CA
21015.04,CA
,CA
,CA
,CA
,CA
40483.55,CA
,CA
32210.1,CA
46114.82,CA
105798.5,CA
76068.42,CA
,CA
28561.92,CA
41791.69,CA
43793.43,CA
,CA
35175.93,CA
30786.91,CA
,CA
,CA
,CA
22017.82,CA
23258.65,CA
,CA
,CA
46309.29,CA
26292.79,CA
32158.91,CA
,CA
,CA
,CA
,CA
36151.85,CA
23861.64,CA
,CA
49049.82,CA
31373.65,CA
26389.23,CA
,CA
107648.44,CA
37416.41,CA
20031.27,CA
,CA
24970.68,GA
16625.95,GA
15818.73,GA
33587.67,GA
14551.38,GA
19245.06,GA
37546.67,GA
20080.03,GA
21700.7,GA
17781.58,GA
16648.56,GA
24251.79,GA
27299.92,GA
18457.71,GA
14535.64,GA
,GA
13023.6,GA
19088.33,GA
23007.33,GA
44963.97,GA
29387.34,GA
12346.0,GA
16795.88,GA
28039.46,GA
13016.2,GA
19259.23,GA
30550.61,GA
,GA
13131.5,GA
24407.63,GA
21249.86,GA
19919.83,GA
23345.59,GA
31681.04,GA
,GA
11569.0,GA
26614.8,GA
17352.31,GA
11672.14,GA
10860.85,GA
,GA
22177.01,GA
34810.21,GA
17046.11,GA
25964.05,GA
22210.42,GA
19021.47,GA
27704.05,GA
,GA
25246.47,GA
15692.05,GA
25684.69,GA
14478.7,GA
25433.37,GA
,GA
16616.89,GA
16587.58,GA
21041.25,GA
22031.08,GA
16248.17,GA
,GA
52678.0,GA
,GA
18939.65,GA
14500.26,GA
40828.1,GA
19490.25,GA
12841.68,GA
17752.79,GA
,GA
,GA
27576.67,GA
12491.0,GA
12989.67,GA
10218.67,GA
